# Bridge-exposed Go standard library inventory, derived from sh.
# Every row is one entry of the reviewed go127StdlibImports inventory
# (sh/syntax/go127stdlib_generated.go), classified by the runtime rules
# of sh/interp/bashpp_eval.go under the pinned toolchain on this host.
#
# sh_commit	156bd4eea1ff695e0df2245fbdb499090699beb2
# sh_bridge_files_dirty	0
# go_release	go1.27.0
# goos	darwin
# goarch	arm64
# go_bin_sha256	a19a71df81715c12d9a7e81bab036c12696fec1ddbd4258b48a2131a9080b267
# go_src_tree_sha256	636d109763f0fe3e45347b74e07a0e00a1ca6a90b6130564b09ed8a04804d942
# inventory_list_sha256	de444f71390a90f274b5176d8da92480ab72e2992d8885823712cd927e289f6c
# inventory_rows	180
# data_sha256	a59a535e4418a4332d0087e3e39878495705aefc7798da0facccb6c1858486c5
# generated_by	tools/bridge-corpus/derive-stdlib.sh
#
# path	go_list_name	standard	go_files	cgo_files	ignored_files	incomplete	err_len	capability	policy	list_error
archive/tar	tar	1	7	0	1	0	0	reviewed-stdlib	toolchain	
archive/zip	zip	1	4	0	0	0	0	reviewed-stdlib	toolchain	
bufio	bufio	1	2	0	0	0	0	reviewed-stdlib	toolchain	
bytes	bytes	1	4	0	2	0	0	reviewed-stdlib	toolchain	
cmp	cmp	1	1	0	0	0	0	reviewed-stdlib	toolchain	
compress/bzip2	bzip2	1	4	0	0	0	0	reviewed-stdlib	toolchain	
compress/flate	flate	1	15	0	1	0	0	reviewed-stdlib	toolchain	
compress/gzip	gzip	1	2	0	0	0	0	reviewed-stdlib	toolchain	
compress/lzw	lzw	1	2	0	0	0	0	reviewed-stdlib	toolchain	
compress/zlib	zlib	1	2	0	0	0	0	reviewed-stdlib	toolchain	
container/heap	heap	1	1	0	0	0	0	reviewed-stdlib	toolchain	
container/list	list	1	1	0	0	0	0	reviewed-stdlib	toolchain	
container/ring	ring	1	1	0	0	0	0	reviewed-stdlib	toolchain	
context	context	1	1	0	0	0	0	reviewed-stdlib	toolchain	
crypto	crypto	1	1	0	0	0	0	reviewed-stdlib	toolchain	
crypto/aes	aes	1	1	0	0	0	0	reviewed-stdlib	toolchain	
crypto/cipher	cipher	1	7	0	1	0	0	reviewed-stdlib	toolchain	
crypto/des	des	1	3	0	0	0	0	reviewed-stdlib	toolchain	
crypto/dsa	dsa	1	1	0	0	0	0	reviewed-stdlib	toolchain	
crypto/ecdh	ecdh	1	3	0	0	0	0	reviewed-stdlib	toolchain	
crypto/ecdsa	ecdsa	1	3	0	1	0	0	reviewed-stdlib	toolchain	
crypto/ed25519	ed25519	1	1	0	0	0	0	reviewed-stdlib	toolchain	
crypto/elliptic	elliptic	1	3	0	0	0	0	reviewed-stdlib	toolchain	
crypto/fips140	fips140	1	2	0	0	0	0	reviewed-stdlib	toolchain	
crypto/hkdf	hkdf	1	1	0	0	0	0	reviewed-stdlib	toolchain	
crypto/hmac	hmac	1	1	0	0	0	0	reviewed-stdlib	toolchain	
crypto/hpke	hpke	1	6	0	1	0	0	reviewed-stdlib	toolchain	
crypto/md5	md5	1	3	0	2	0	0	reviewed-stdlib	toolchain	
crypto/mldsa	mldsa	1	2	0	2	0	0	reviewed-stdlib	toolchain	
crypto/mlkem	mlkem	1	1	0	0	0	0	reviewed-stdlib	toolchain	
crypto/mlkem/mlkemtest	mlkemtest	1	1	0	0	0	0	reviewed-stdlib	toolchain	
crypto/pbkdf2	pbkdf2	1	1	0	0	0	0	reviewed-stdlib	toolchain	
crypto/rand	rand	1	3	0	0	0	0	reviewed-stdlib	toolchain	
crypto/rc4	rc4	1	1	0	0	0	0	reviewed-stdlib	toolchain	
crypto/rsa	rsa	1	4	0	2	0	0	reviewed-stdlib	toolchain	
crypto/sha1	sha1	1	3	0	4	0	0	reviewed-stdlib	toolchain	
crypto/sha256	sha256	1	1	0	0	0	0	reviewed-stdlib	toolchain	
crypto/sha3	sha3	1	1	0	0	0	0	reviewed-stdlib	toolchain	
crypto/sha512	sha512	1	1	0	0	0	0	reviewed-stdlib	toolchain	
crypto/subtle	subtle	1	3	0	0	0	0	reviewed-stdlib	toolchain	
crypto/tls	tls	1	21	0	3	0	0	reviewed-stdlib	toolchain	
crypto/x509	x509	1	13	0	11	0	0	reviewed-stdlib	toolchain	
crypto/x509/pkix	pkix	1	1	0	0	0	0	reviewed-stdlib	toolchain	
database/sql	sql	1	4	0	0	0	0	reviewed-stdlib	toolchain	
database/sql/driver	driver	1	2	0	0	0	0	reviewed-stdlib	toolchain	
debug/buildinfo	buildinfo	1	1	0	0	0	0	reviewed-stdlib	toolchain	
debug/dwarf	dwarf	1	11	0	0	0	0	reviewed-stdlib	toolchain	
debug/elf	elf	1	3	0	0	0	0	reviewed-stdlib	toolchain	
debug/gosym	gosym	1	2	0	0	0	0	reviewed-stdlib	toolchain	
debug/macho	macho	1	5	0	0	0	0	reviewed-stdlib	toolchain	
debug/pe	pe	1	5	0	0	0	0	reviewed-stdlib	toolchain	
debug/plan9obj	plan9obj	1	2	0	0	0	0	reviewed-stdlib	toolchain	
embed	embed	1	1	0	0	0	0	reviewed-stdlib	toolchain	
encoding	encoding	1	1	0	0	0	0	reviewed-stdlib	toolchain	
encoding/ascii85	ascii85	1	1	0	0	0	0	reviewed-stdlib	toolchain	
encoding/asn1	asn1	1	3	0	0	0	0	reviewed-stdlib	toolchain	
encoding/base32	base32	1	1	0	0	0	0	reviewed-stdlib	toolchain	
encoding/base64	base64	1	1	0	0	0	0	reviewed-stdlib	toolchain	
encoding/binary	binary	1	3	0	1	0	0	reviewed-stdlib	toolchain	
encoding/csv	csv	1	2	0	0	0	0	reviewed-stdlib	toolchain	
encoding/gob	gob	1	9	0	4	0	0	reviewed-stdlib	toolchain	
encoding/hex	hex	1	1	0	0	0	0	reviewed-stdlib	toolchain	
encoding/json	json	1	7	0	21	0	0	reviewed-stdlib	toolchain	
encoding/json/jsontext	jsontext	1	11	0	0	0	0	reviewed-stdlib	toolchain	
encoding/json/v2	json	1	13	0	0	0	0	reviewed-stdlib	toolchain	
encoding/pem	pem	1	1	0	0	0	0	reviewed-stdlib	toolchain	
encoding/xml	xml	1	4	0	0	0	0	reviewed-stdlib	toolchain	
errors	errors	1	3	0	0	0	0	reviewed-stdlib	toolchain	
expvar	expvar	1	1	0	0	0	0	reviewed-stdlib	toolchain	
flag	flag	1	1	0	0	0	0	reviewed-stdlib	toolchain	
fmt	fmt	1	5	0	0	0	0	reviewed-stdlib	toolchain	
go/ast	ast	1	9	0	0	0	0	reviewed-stdlib	toolchain	
