# Tranche 1 of the official Go corpus, selected for real execution by the Go
# oracle driver.
#
# Reviewed for Sprint 98 / Story 175 on 2026-09-03.
#
# Generated by: tools/go-oracle/select-tranche.sh 5
# Regenerate and diff with: tools/go-oracle/validate-tranche.sh
#
# The rule is mechanical and outcome-blind: within each tranche-1 action, the
# first 5 rows of docs/go-corpus/inventory.tsv in lexicographic path order whose
# directory is one of the upstream runner's `dirs`. Nothing was selected or
# dropped because of how it behaved — a tranche curated by result would make its
# own green verdict meaningless.
#
# This is the oracle's denominator. tools/go-oracle emits exactly one result
# record per row here, and refuses to report a run in which that count does not
# hold or in which no command was spawned.
#
# path	action
test/235.go	run
test/64bit.go	runoutput
test/abi/bad_internal_offsets.go	compile
test/abi/bad_select_crash.go	build
test/abi/convF_criteria.go	run
test/abi/convT64_criteria.go	run
test/abi/defer_aggregate.go	run
test/abi/defer_recover_results.go	run
test/abi/result_live.go	errorcheck
test/alg.go	build
test/alias.go	errorcheck
test/alias2.go	errorcheck
test/alias3.go	rundir
test/append1.go	errorcheck
test/arenas/smoke.go	build
test/assign.go	errorcheck
test/bom.go	runoutput
test/chan/select5.go	runoutput
test/clearfat.go	runoutput
test/closure5.go	compiledir
test/closure6.go	compile
test/convinline.go	runoutput
test/ddd2.go	rundir
test/dwarf/dwarf.go	rundir
test/empty.go	compile
test/eof.go	compile
test/eof1.go	compile
test/fixedbugs/bug076.go	build
test/fixedbugs/bug088.go	compiledir
test/fixedbugs/bug106.go	compiledir
test/fixedbugs/bug110.go	build
test/fixedbugs/bug160.go	rundir
test/fixedbugs/bug191.go	rundir
test/fixedbugs/bug222.go	compiledir
test/fixedbugs/bug282.go	compiledir
