# Public Bash++ AST API inventory. Every entry is an exact public identity.
# identity	class	declaring-source
node:BashPPDecl	node	syntax/bashpp_nodes.go
node:BashPPConstGroup	node	syntax/bashpp_nodes.go
node:BashPPConstSpec	node	syntax/bashpp_nodes.go
node:BashPPAssign	node	syntax/bashpp_nodes.go
node:BashPPShortDecl	node	syntax/bashpp_nodes.go
node:BashPPBasicLit	node	syntax/bashpp_nodes.go
node:BashPPIdent	node	syntax/bashpp_nodes.go
node:BashPPTypeAssertExpr	node	syntax/bashpp_nodes.go
node:BashPPParenExpr	node	syntax/bashpp_nodes.go
node:BashPPUnaryExpr	node	syntax/bashpp_nodes.go
node:BashPPAddressExpr	node	syntax/bashpp_nodes.go
node:BashPPDerefExpr	node	syntax/bashpp_nodes.go
node:BashPPNewExpr	node	syntax/bashpp_nodes.go
node:BashPPBinaryExpr	node	syntax/bashpp_nodes.go
node:BashPPConvertExpr	node	syntax/bashpp_nodes.go
node:BashPPIndexExpr	node	syntax/bashpp_nodes.go
node:BashPPSliceExpr	node	syntax/bashpp_nodes.go
node:BashPPSelectorExpr	node	syntax/bashpp_nodes.go
node:BashPPFuncType	node	syntax/bashpp_nodes.go
node:BashPPNamedType	node	syntax/bashpp_nodes.go
node:BashPPTypeParamType	node	syntax/bashpp_nodes.go
node:BashPPUnionType	node	syntax/bashpp_nodes.go
node:BashPPApproxType	node	syntax/bashpp_nodes.go
node:BashPPPointerType	node	syntax/bashpp_nodes.go
node:BashPPCollectionType	node	syntax/bashpp_nodes.go
node:BashPPStructType	node	syntax/bashpp_nodes.go
node:BashPPInterfaceType	node	syntax/bashpp_nodes.go
node:BashPPInterfaceElem	node	syntax/bashpp_nodes.go
node:BashPPMethodSpec	node	syntax/bashpp_nodes.go
node:BashPPCompositeLit	node	syntax/bashpp_nodes.go
node:BashPPCompositeElem	node	syntax/bashpp_nodes.go
node:BashPPCall	node	syntax/bashpp_nodes.go
node:BashPPCommandCall	node	syntax/bashpp_nodes.go
node:BashPPImport	node	syntax/bashpp_nodes.go
node:BashPPImportSpec	node	syntax/bashpp_nodes.go
node:BashPPIf	node	syntax/bashpp_nodes.go
node:BashPPFor	node	syntax/bashpp_nodes.go
node:BashPPForAssign	node	syntax/bashpp_nodes.go
node:BashPPIncDec	node	syntax/bashpp_nodes.go
node:BashPPUpdate	node	syntax/bashpp_nodes.go
node:BashPPBranch	node	syntax/bashpp_nodes.go
node:BashPPSwitch	node	syntax/bashpp_nodes.go
node:BashPPSwitchArm	node	syntax/bashpp_nodes.go
node:BashPPField	node	syntax/bashpp_nodes.go
node:BashPPTypeParam	node	syntax/bashpp_nodes.go
