# Public Go-profile source cases: interpreted observations only.
# stdout/stderr contain JSON strings; expected_status is the exact process exit code.
id	category	fixture	expected_status	stdout	stderr	public_test_ref
assert-fail-neg	assertions	assertions/assert-fail-neg.bpp	2	""	"BASHPP-EASSERT-FAIL: interface value has dynamic type T, not U\n"	sh/interp/bashpp_interface_test.go:TestBashPPInterfaceDiagnostics/assert_fail
assert-impossible-neg	assertions	assertions/assert-impossible-neg.bpp	2	""	"BASHPP-EASSERT-IMPOSSIBLE: U cannot be asserted from I\n"	sh/interp/bashpp_interface_test.go:TestBashPPInterfaceDiagnostics/assert_impossible
cap-type-neg	builtins	builtins/cap-type-neg.bpp	2	""	"BASHPP-EBUILTIN-TYPE: cap argument must be an array or slice\nbuiltins/cap-type-neg.bpp: line 2: BASHPP-ESHORT-NONEW: no new variables on left side of :=\n"	sh/interp/bashpp_builtin_test.go:TestBashPPBuiltinDiagnosticsAndReadonly/cap_type
collection-builtins	builtins	builtins/collection-builtins.bpp	0	"lens:0:0:3:3 copy 3 3 alias 3 map 0 str 2 nil true false false false\nclear 0 0 0 order 2 z\n"	""	sh/interp/bashpp_builtin_test.go:TestBashPPPredeclaredCollectionBuiltins
readonly-clear-neg	builtins	builtins/readonly-clear-neg.bpp	2	""	"BASHPP-EREADONLY-MUTATION: cannot mutate readonly value \"s\" through clear\n"	sh/interp/bashpp_builtin_test.go:TestBashPPBuiltinDiagnosticsAndReadonly/readonly_clear
residual-forms	builtins	builtins/residual-forms.bpp	0	"typed:9007199254740993:9007199254740993\nexact-print 9007199254740993\nchannel:1:3:1 pointer:4:4:5:5 copy:3:195:169:120 append:65:195:169 exact:9007199254740993:-9007199254740993\n"	""	sh/interp/bashpp_builtin_test.go:TestBashPPPredeclaredBuiltinResidualForms
string-scalar-provenance	builtins	builtins/string-scalar-provenance.bpp	0	"typed:20:20\nshort:10:true:4:2 copy:4:116:114:117:101 append:49:48 defined:20:2:50:48\n"	""	sh/interp/bashpp_builtin_test.go:TestBashPPBuiltinStringScalarProvenance
collections-read-mutate	composites	composites/collections-read-mutate.bpp	0	"1:7:x:y:5\n9:8:6:3:null\n"	""	sh/interp/bashpp_collection_test.go:TestBashPPCollectionsReadAndMutate
struct-copy-vs-reference	composites	composites/struct-copy-vs-reference.bpp	0	"a:b:fixed:copy:3:3:4:4\n"	""	sh/interp/bashpp_struct_test.go:TestBashPPStructAndNestedArrayCopySliceMapReference
struct-literal-mixed-neg	composites	composites/struct-literal-mixed-neg.bpp	2	""	"BASHPP-ESTRUCT-MIXED: Pair literal cannot mix keyed and positional fields\n"	sh/interp/bashpp_struct_test.go:TestBashPPStructDiagnostics/mixed
struct-literals-zero-values	composites	composites/struct-literals-zero-values.bpp	0	":0:decl:prod:4:fixed:pos:anon\n"	""	sh/interp/bashpp_struct_test.go:TestBashPPStructLiteralsSelectorsAndZeroValues
blank-specs-advance-iota	const	const/blank-specs-advance-iota.bpp	0	"1:3\n"	""	sh/interp/bashpp_const_test.go:TestBashPPGroupedConstantsBlankSpecsAdvanceIota
iota-repetition-types	const	const/iota-repetition-types.bpp	0	"same:3:4\n0:1:5:3:4\n"	""	sh/interp/bashpp_const_test.go:TestBashPPGroupedConstantsIotaRepetitionAndTypes
iota-shadowing	const	const/iota-shadowing.bpp	0	"0:0\n"	""	sh/interp/bashpp_const_test.go:TestBashPPGroupedConstantsIotaShadowing
typed-expression-identity	const	const/typed-expression-identity.bpp	0	"same:1:2\n"	""	sh/interp/bashpp_const_test.go:TestBashPPGroupedConstantsTypedExpressionIdentity
typed-overflow-neg	const	const/typed-overflow-neg.bpp	2	""	"const/typed-overflow-neg.bpp: line 3: BASHPP-EEXPR-CONVERT: constant 128 overflows int8\n"	sh/interp/bashpp_const_test.go:TestBashPPGroupedConstantsDiagnostics/typed_overflow
branch-nested-targets	control-flow	control-flow/branch-nested-targets.bpp	0	"fell:1\ntail:1\ntail:2\nbody:3\ndone\n"	""	sh/interp/bashpp_branch_test.go:TestBashPPBranchNestedTargetsPostAndScopes
for-assignment-init-post	control-flow	control-flow/for-assignment-init-post.bpp	0	"1\n2\n3\nafter:4\n"	""	sh/interp/bashpp_for_test.go:TestBashPPForAssignmentInitAndPost
for-cond-nonboolean-neg	control-flow	control-flow/for-cond-nonboolean-neg.bpp	2	""	"BASHPP-EFOR-COND: for condition must be boolean, got Int\n"	sh/interp/bashpp_for_test.go:TestBashPPForRejectsNonBooleanCondition
