# Public compiler-phase contract; interpreter expectations remain in the original manifests.
# Sprint: #117; Story: #9; Story-ID: e400885f8746
id	phase	source_sha256	reason	public_test_ref
assert-fail-neg	artifact-run	c1a9d49fc2a3079b2c74b2400d84e5a5ed8da3e8842820e7d7bb9629f27d9e48	Both T and U implement I; assertion depends on dynamic interface value and must fail at runtime.	sh/interp/bashpp_interface_test.go:TestBashPPInterfaceDiagnostics/assert_fail
assert-impossible-neg	semantic-reject	fa3676a66f70b5989ecc2644d2d600f742fc70a2a85bbc9cf26246cc2e40cc34	U lacks I.M; even comma-ok assertion is statically impossible	sh/interp/bashpp_interface_test.go:TestBashPPInterfaceDiagnostics/assert_impossible
cap-type-neg	semantic-reject	8463287f127d7b9d946eafc5804995daaa71fc70fc3440fa368b8dac33c08c23	cap(int) has an invalid operand type; blank short binding also emits the recorded secondary diagnostic	sh/interp/bashpp_builtin_test.go:TestBashPPBuiltinDiagnosticsAndReadonly/cap_type
collection-builtins	artifact-run	e2b26265a45e17ea4ae8bc6b48d5bb635a6fe54a758f550c77b240c2573539eb	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_builtin_test.go:TestBashPPPredeclaredCollectionBuiltins
readonly-clear-neg	artifact-run	15317cc85cec17aa03be2507cce193b494286236a63f00c98ee9fabe7441eba9	Shell readonly is runtime state; clear must execute its deep-readonly guard.	sh/interp/bashpp_builtin_test.go:TestBashPPBuiltinDiagnosticsAndReadonly/readonly_clear
residual-forms	artifact-run	10c35cb8486e03482a54bdd7782c48519c5bc6cd4220e22b509d47557d976a5f	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_builtin_test.go:TestBashPPPredeclaredBuiltinResidualForms
string-scalar-provenance	artifact-run	65a46490779d559c89305bf2f5bf463d5cdcf6f447d99606eb5222f4f0b7ebd5	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_builtin_test.go:TestBashPPBuiltinStringScalarProvenance
collections-read-mutate	artifact-run	fc6dc597859d595003beae12d2eb3685848a3413a94502e6e840a7e75ca731dc	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_collection_test.go:TestBashPPCollectionsReadAndMutate
struct-copy-vs-reference	artifact-run	42473e77a6f8b77854b702d0a6b8970eda0fe282a4b3516d53bd6b2f7bb79d90	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_struct_test.go:TestBashPPStructAndNestedArrayCopySliceMapReference
struct-literal-mixed-neg	semantic-reject	bd40708a37f5f23137a764509ea7aea169f2625790c3a4e08ffccd9de31e2529	keyed and positional struct literal elements are mixed	sh/interp/bashpp_struct_test.go:TestBashPPStructDiagnostics/mixed
struct-literals-zero-values	artifact-run	b5396466395f90f2845a3887c3d92d1773053844430dfa4d3abfe89c1384449a	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_struct_test.go:TestBashPPStructLiteralsSelectorsAndZeroValues
blank-specs-advance-iota	artifact-run	36cb720098d8289249b76c3afb992926305a73f6e5f50e23f2bc76b3fbc75002	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_const_test.go:TestBashPPGroupedConstantsBlankSpecsAdvanceIota
iota-repetition-types	artifact-run	248fad2cdab16eb1d14fe39db6b4b8263f2eb26b5c038c2d7d7b72da89b773f8	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_const_test.go:TestBashPPGroupedConstantsIotaRepetitionAndTypes
iota-shadowing	artifact-run	538ba9a4362fe51a3ab1fc517abef15105c2b984f2e65f90b33e2b6fbc83fa4b	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_const_test.go:TestBashPPGroupedConstantsIotaShadowing
typed-expression-identity	artifact-run	3c1014fa7015b0a336124f75178a353437ca47db8dd1aba2fef7d233802cb012	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_const_test.go:TestBashPPGroupedConstantsTypedExpressionIdentity
typed-overflow-neg	semantic-reject	36005aa45e32471c497915e9fdeef4394ffc31b74aa82fc6273b54df8e7826e0	second int8 constant becomes 128 after iota repetition	sh/interp/bashpp_const_test.go:TestBashPPGroupedConstantsDiagnostics/typed_overflow
branch-nested-targets	artifact-run	205e9c7790cfc342e0fd6d9744d5c926b08e1854ff3dc62880d08b0f763278aa	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_branch_test.go:TestBashPPBranchNestedTargetsPostAndScopes
for-assignment-init-post	artifact-run	135c976117e703d03f2561b584972223686de90853dc0ed2ea130c961b7d461a	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_for_test.go:TestBashPPForAssignmentInitAndPost
for-cond-nonboolean-neg	semantic-reject	6156711f0e4d3392381d16a0978b75f1e7b1968a124131feb2ca242dfddaab5b	for condition 1 + 1 has nonboolean static type	sh/interp/bashpp_for_test.go:TestBashPPForRejectsNonBooleanCondition
for-forms-per-iteration	artifact-run	566b4358de1ab1107ee9a3ae56af04afb48743d2fd3a30e164513660ab232dc6	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_for_test.go:TestBashPPForFormsScopeAndPerIterationVariables
if-branches-scopes	artifact-run	0cc02905b7537711933a9dc3ae2e33788467d2dcb4116cf8b789eb5a819d75db	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_if_test.go:TestBashPPIfBooleanBranchesAndScopes
if-cond-nonboolean-neg	semantic-reject	eac6fd9b287f8fa37ce52ea4430c3223bc2f1a617b92d6dc357f0cb5af7af475	if condition 1 has nonboolean static type	sh/interp/bashpp_if_test.go:TestBashPPIfRejectsNonBooleanCondition
range-control-flow	artifact-run	b70311ba6a2e473b311a9ea4569988910c41dfee245444e3d2fc046683d34c35	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_range_test.go:TestBashPPRangeControlFlowAndIterationLifetime
range-scalar-arity-neg	semantic-reject	a3a6904f964545a1ca1cd4109648561f6dc5ec9941156530e5b822c4c1ccd260	integer range cannot bind two iteration variables	sh/interp/bashpp_range_test.go:TestBashPPRangeScalarDiagnostics/integer_arity
