# path	kind	reason
_content/tour/basics.article#inline-01-L25	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/basics.article#inline-02-L67	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/basics.article#inline-03-L71	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/basics.article#inline-04-L123	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/basics.article#inline-05-L125	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/basics.article#inline-06-L127	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/basics.article#inline-07-L130	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/basics.article#inline-08-L132	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/basics.article#inline-09-L135	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/basics.article#inline-10-L137	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/basics.article#inline-11-L167	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/basics.article#inline-12-L173	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/basics.article#inline-13-L189	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/basics.article#inline-14-L194	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/basics/exported-names.go	lesson_play_program	Upstream marks the file nobuild (oracle refuses to build it: exercise skeleton, not a complete standalone program)
_content/tour/concurrency.article#inline-01-L11	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/concurrency.article#inline-02-L15	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/concurrency.article#inline-03-L27	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/concurrency.article#inline-04-L35	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/concurrency.article#inline-05-L48	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/concurrency.article#inline-06-L60	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/concurrency.article#inline-07-L86	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/concurrency.article#inline-08-L105	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/concurrency.article#inline-09-L124	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/concurrency/exercise-equivalent-binary-trees.go	lesson_play_program	Upstream marks the file nobuild (oracle refuses to build it: exercise skeleton, not a complete standalone program)
_content/tour/flowcontrol.article#inline-01-L82	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/flowcontrol.article#inline-02-L96	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/flowcontrol.article#inline-03-L133	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/flowcontrol/exercise-loops-and-functions.go	lesson_play_program	Upstream marks the file nobuild (oracle refuses to build it: exercise skeleton, not a complete standalone program)
_content/tour/methods.article#inline-01-L84	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/methods.article#inline-02-L91	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/methods.article#inline-03-L109	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
