path	mode	status
_content/tour/basics/basic-types.go	baseline	PASS
_content/tour/basics/basic-types.go	interpreted	PASS
_content/tour/basics/basic-types.go	compiled	PASS
_content/tour/basics/constants.go	baseline	PASS
_content/tour/basics/constants.go	interpreted	PASS
_content/tour/basics/constants.go	compiled	PASS
_content/tour/basics/functions-continued.go	baseline	PASS
_content/tour/basics/functions-continued.go	interpreted	PASS
_content/tour/basics/functions-continued.go	compiled	PASS
_content/tour/basics/functions.go	baseline	PASS
_content/tour/basics/functions.go	interpreted	PASS
_content/tour/basics/functions.go	compiled	PASS
_content/tour/basics/imports.go	baseline	PASS
_content/tour/basics/imports.go	interpreted	PASS
_content/tour/basics/imports.go	compiled	PASS
_content/tour/basics/multiple-results.go	baseline	PASS
_content/tour/basics/multiple-results.go	interpreted	PASS
_content/tour/basics/multiple-results.go	compiled	PASS
_content/tour/basics/named-results.go	baseline	PASS
_content/tour/basics/named-results.go	interpreted	PASS
_content/tour/basics/named-results.go	compiled	PASS
_content/tour/basics/numeric-constants.go	baseline	PASS
_content/tour/basics/numeric-constants.go	interpreted	PASS
_content/tour/basics/numeric-constants.go	compiled	PASS
_content/tour/basics/packages.go	baseline	PASS
_content/tour/basics/packages.go	interpreted	PASS
_content/tour/basics/packages.go	compiled	PASS
_content/tour/basics/short-variable-declarations.go	baseline	PASS
_content/tour/basics/short-variable-declarations.go	interpreted	PASS
_content/tour/basics/short-variable-declarations.go	compiled	PASS
_content/tour/basics/type-conversions.go	baseline	PASS
_content/tour/basics/type-conversions.go	interpreted	PASS
_content/tour/basics/type-conversions.go	compiled	PASS
_content/tour/basics/type-inference.go	baseline	PASS
_content/tour/basics/type-inference.go	interpreted	PASS
_content/tour/basics/type-inference.go	compiled	PASS
_content/tour/basics/variables-with-initializers.go	baseline	PASS
_content/tour/basics/variables-with-initializers.go	interpreted	PASS
_content/tour/basics/variables-with-initializers.go	compiled	PASS
_content/tour/basics/variables.go	baseline	PASS
_content/tour/basics/variables.go	interpreted	PASS
_content/tour/basics/variables.go	compiled	PASS
_content/tour/basics/zero.go	baseline	PASS
_content/tour/basics/zero.go	interpreted	PASS
_content/tour/basics/zero.go	compiled	PASS
_content/tour/concurrency/buffered-channels.go	baseline	PASS
_content/tour/concurrency/buffered-channels.go	interpreted	PASS
_content/tour/concurrency/buffered-channels.go	compiled	PASS
_content/tour/concurrency/channels.go	baseline	PASS
_content/tour/concurrency/channels.go	interpreted	PASS
_content/tour/concurrency/channels.go	compiled	PASS
_content/tour/concurrency/default-selection.go	baseline	PASS
_content/tour/concurrency/default-selection.go	interpreted	PASS
_content/tour/concurrency/default-selection.go	compiled	PASS
_content/tour/concurrency/exercise-web-crawler.go	baseline	PASS
_content/tour/concurrency/exercise-web-crawler.go	interpreted	PASS
_content/tour/concurrency/exercise-web-crawler.go	compiled	PASS
_content/tour/concurrency/goroutines.go	baseline	PASS
_content/tour/concurrency/goroutines.go	interpreted	PASS
_content/tour/concurrency/goroutines.go	compiled	PASS
_content/tour/concurrency/mutex-counter.go	baseline	PASS
_content/tour/concurrency/mutex-counter.go	interpreted	FAIL:run:exit:1
_content/tour/concurrency/mutex-counter.go	compiled	PASS
_content/tour/concurrency/range-and-close.go	baseline	PASS
_content/tour/concurrency/range-and-close.go	interpreted	PASS
_content/tour/concurrency/range-and-close.go	compiled	PASS
_content/tour/concurrency/select.go	baseline	PASS
_content/tour/concurrency/select.go	interpreted	PASS
_content/tour/concurrency/select.go	compiled	PASS
_content/tour/flowcontrol/defer-multi.go	baseline	PASS
_content/tour/flowcontrol/defer-multi.go	interpreted	PASS
_content/tour/flowcontrol/defer-multi.go	compiled	PASS
_content/tour/flowcontrol/defer.go	baseline	PASS
_content/tour/flowcontrol/defer.go	interpreted	PASS
_content/tour/flowcontrol/defer.go	compiled	PASS
_content/tour/flowcontrol/for-continued.go	baseline	PASS
_content/tour/flowcontrol/for-continued.go	interpreted	PASS
_content/tour/flowcontrol/for-continued.go	compiled	PASS
_content/tour/flowcontrol/for-is-gos-while.go	baseline	PASS
