root	mode	first_line	verdict
testdir:closure5.go	compiled	main.go:4:8: "./a" is relative, but relative import paths are not supported in module mode	missing=0;wording=0;extra=0;class=-
testdir:codegen/addrcalc.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/addrcalc.go	compiled	codegen/addrcalc.go:13: linux/amd64/v1: opcode not found: `^ADDQ`	missing=0;wording=0;extra=0;class=-
testdir:codegen/append.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/append.go	compiled	codegen/append.go:15: linux/amd64/v1: opcode not found: `^.*growslice\b`	missing=0;wording=0;extra=0;class=-
testdir:codegen/arithmetic.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/arithmetic.go	compiled	codegen/arithmetic.go:64: linux/amd64/v1: opcode not found: `^SUBQ [A-Z]+, 16\([A-Z]+\)`	missing=0;wording=0;extra=0;class=-
testdir:codegen/atomics.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/atomics.go	compiled	codegen/atomics.go:26: linux/amd64/v1: opcode not found: `^LOCK`	missing=0;wording=0;extra=0;class=-
testdir:codegen/bits.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/bits.go	compiled	codegen/bits.go:20: linux/amd64/v1: opcode not found: `^BTQ [$]63,`	missing=0;wording=0;extra=0;class=-
testdir:codegen/bmi.go	interpreted	linux/amd64/v3	missing=0;wording=0;extra=0;class=-
testdir:codegen/bmi.go	compiled	codegen/bmi.go:11: linux/amd64/v3: opcode not found: `^ANDNQ`	missing=0;wording=0;extra=0;class=-
testdir:codegen/bool.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/bool.go	compiled	codegen/bool.go:18: linux/amd64/v1: opcode not found: `^ANDL [$]1`	missing=0;wording=0;extra=0;class=-
testdir:codegen/clobberdead.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/clobberdead.go	compiled	codegen/clobberdead.go:20: linux/amd64/v1: opcode not found: `^MOVL \$3735936685, command-line-arguments\.x`	missing=0;wording=0;extra=0;class=-
testdir:codegen/clobberdeadreg.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/clobberdeadreg.go	compiled	codegen/clobberdeadreg.go:22: linux/amd64/v1: opcode not found: `^MOVQ \$-2401018187971961171, AX`	missing=0;wording=0;extra=0;class=-
testdir:codegen/comparisons.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/comparisons.go	compiled	codegen/comparisons.go:28: linux/amd64/v1: opcode not found: `^CMPW \(.*\), [$]`	missing=0;wording=0;extra=0;class=-
testdir:codegen/condmove.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/condmove.go	compiled	codegen/condmove.go:23: linux/amd64/v1: opcode not found: `^CMOVQLT`	missing=0;wording=0;extra=0;class=-
testdir:codegen/deadstore.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/deadstore.go	compiled	codegen/deadstore.go:24: linux/amd64/v1: opcode not found: `^MOVQ \$3`	missing=0;wording=0;extra=0;class=-
testdir:codegen/floats.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/floats.go	compiled	codegen/floats.go:27: linux/amd64/v1: opcode not found: `^ADDSD`	missing=0;wording=0;extra=0;class=-
testdir:codegen/fuse.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/fuse.go	compiled	codegen/fuse.go:24: linux/amd64/v1: opcode not found: `^CMPQ .+, [$]256`	missing=0;wording=0;extra=0;class=-
testdir:codegen/ifaces.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/ifaces.go	compiled	codegen/ifaces.go:26: linux/amd64/v1: opcode not found: `^CALL runtime.typeAssert`	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue22703.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue22703.go	compiled	codegen/issue22703.go:534: linux/amd64/v1: opcode not found: `^TESTB`	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue48054.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue48054.go	compiled	codegen/issue48054.go:27: linux/amd64/v1: opcode not found: `^TESTQ`	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue52635.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue52635.go	compiled	codegen/issue52635.go:22: linux/amd64/v1: opcode not found: `^MOVUPS X15,`	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue54467.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue54467.go	compiled	codegen/issue54467.go:11: linux/amd64/v1: opcode not found: `^.*memmove`	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue56440.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue56440.go	compiled	codegen/issue56440.go:17: linux/amd64/v1: opcode not found: `^MOVQ 40\(.*\),`	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue58166.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue58166.go	compiled	codegen/issue58166.go:17: linux/amd64/v1: opcode not found: `^INCQ`	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue59297.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue59297.go	compiled	codegen/issue59297.go:11: linux/amd64/v1: opcode not found: `^MOVQ AX, BX`	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue60324.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue60324.go	compiled	codegen/issue60324.go:11: linux/amd64/v1: opcode not found: `^LEAQ command-line-arguments\.h\.func1`	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue69635.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue69635.go	compiled	codegen/issue69635.go:12: linux/amd64/v1: opcode not found: `^SHRQ \$17, AX$`	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue72832.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue72832.go	compiled	codegen/issue72832.go:17: linux/amd64/v1: opcode not found: `^MOVQ`	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue74485.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue74485.go	compiled	codegen/issue74485.go:11: linux/amd64/v1: opcode not found: `^SHRQ [$]63, AX`	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue74788.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue74788.go	compiled	codegen/issue74788.go:11: linux/amd64/v1: wrong number of opcodes: `^MOVUPS[^,]+, X[0-9]+$`	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue75203.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/issue75203.go	compiled	codegen/issue75203.go:14: linux/amd64/v1: opcode not found: `^LEAQ type:\*int\(SB\)`	missing=0;wording=0;extra=0;class=-
testdir:codegen/load_type_from_itab.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/load_type_from_itab.go	compiled	codegen/load_type_from_itab.go:23: linux/amd64/v1: opcode not found: `^LEAQ type:.*Impl`	missing=0;wording=0;extra=0;class=-
testdir:codegen/logic.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/logic.go	compiled	codegen/logic.go:15: linux/amd64/v1: opcode not found: `^TESTQ (AX, AX|BX, BX|CX, CX|DX, DX|SI, SI|DI, DI|R8, R8|R9, R9|R10, R10|R11, R11|R12, R12|R13, R13|R15, R15)`	missing=0;wording=0;extra=0;class=-
testdir:codegen/mapaccess.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/mapaccess.go	compiled	codegen/mapaccess.go:267: linux/amd64/v1: opcode not found: `^.*mapaccess`	missing=0;wording=0;extra=0;class=-
testdir:codegen/maps.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/maps.go	compiled	codegen/maps.go:20: linux/amd64/v1: opcode not found: `^MOV[LQ] [$]5`	missing=0;wording=0;extra=0;class=-
testdir:codegen/math.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/math.go	compiled	codegen/math.go:20: linux/amd64/v1: opcode not found: `^ROUNDSD [$]2`	missing=0;wording=0;extra=0;class=-
testdir:codegen/mathbits.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/mathbits.go	compiled	codegen/mathbits.go:188: linux/amd64/v1: opcode not found: `^POPCNTQ`	missing=0;wording=0;extra=0;class=-
testdir:codegen/memcombine.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/memcombine.go	compiled	codegen/memcombine.go:25: linux/amd64/v1: opcode not found: `^MOVQ \(.*\),`	missing=0;wording=0;extra=0;class=-
testdir:codegen/memops.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/memops.go	compiled	codegen/memops.go:17: linux/amd64/v1: opcode not found: `^CMPB command-line-arguments.x\+1\(SB\), [$]0`	missing=0;wording=0;extra=0;class=-
testdir:codegen/multiply.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/multiply.go	compiled	codegen/multiply.go:16: linux/amd64/v1: opcode not found: `^XORL`	missing=0;wording=0;extra=0;class=-
testdir:codegen/reflect_type.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/reflect_type.go	compiled	codegen/reflect_type.go:14: linux/amd64/v1: opcode not found: `^MOVL [$]8,`	missing=0;wording=0;extra=0;class=-
testdir:codegen/regabi_regalloc.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
