root	class	credit
typechecker:cmd/compile/internal/types2/TestAtomicAlign/386	native-only	0
typechecker:cmd/compile/internal/types2/TestAtomicAlign/amd64	native-only	0
typechecker:cmd/compile/internal/types2/TestGCSizes/issue60431	native-only	0
typechecker:cmd/compile/internal/types2/TestGCSizes/issue60734	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/duplfunc0	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/duplfunc1	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/dupltype0	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/dupltype1	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/dupltype1#01	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/i0	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/issue51803	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/issue59956	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/p0	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/p1	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/p2	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/p3	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/p4	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/reverse1a	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/reverse1b	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/reverse2a	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/reverse2b	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/reverse2c	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/reverse3b	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/reverse4a	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/reverse4b	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/s1	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/s2	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/s3	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/s4	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/t1	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/t2	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/t3	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/t4	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/type0	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/type1	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/type2	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/type3	native-only	0
typechecker:cmd/compile/internal/types2/TestInstanceInfo/type4	native-only	0
typechecker:cmd/compile/internal/types2/TestInstantiateEquality/basicfunc	native-only	0
typechecker:cmd/compile/internal/types2/TestInstantiateEquality/basictype	native-only	0
typechecker:cmd/compile/internal/types2/TestInstantiateEquality/differentfuncargs	native-only	0
typechecker:cmd/compile/internal/types2/TestInstantiateEquality/differenttypeargs	native-only	0
typechecker:cmd/compile/internal/types2/TestInstantiateEquality/equivalentinterfaces	native-only	0
typechecker:cmd/compile/internal/types2/TestInstantiateEquality/equivalenttypesets	native-only	0
typechecker:cmd/compile/internal/types2/TestInstantiateEquality/funcequality	native-only	0
typechecker:cmd/compile/internal/types2/TestInstantiateEquality/funcslice	native-only	0
typechecker:cmd/compile/internal/types2/TestInstantiateEquality/funcsymmetry	native-only	0
typechecker:cmd/compile/internal/types2/TestInstantiateEquality/funcwithparams	native-only	0
typechecker:cmd/compile/internal/types2/TestInstantiateEquality/typeslice	native-only	0
typechecker:cmd/compile/internal/types2/TestInstantiatedObjects/concreteMethod	native-only	0
typechecker:cmd/compile/internal/types2/TestInstantiatedObjects/fParam	native-only	0
typechecker:cmd/compile/internal/types2/TestInstantiatedObjects/fResult	native-only	0
typechecker:cmd/compile/internal/types2/TestInstantiatedObjects/field	native-only	0
typechecker:cmd/compile/internal/types2/TestInstantiatedObjects/field#01	native-only	0
typechecker:cmd/compile/internal/types2/TestInstantiatedObjects/ftParam	native-only	0
typechecker:cmd/compile/internal/types2/TestInstantiatedObjects/ftResult	native-only	0
typechecker:cmd/compile/internal/types2/TestInstantiatedObjects/interfaceMethod	native-only	0
typechecker:cmd/compile/internal/types2/TestInstantiatedObjects/mParam	native-only	0
typechecker:cmd/compile/internal/types2/TestInstantiatedObjects/mResult	native-only	0
typechecker:cmd/compile/internal/types2/TestInstantiatedObjects/recv	native-only	0
typechecker:cmd/compile/internal/types2/TestObjectString/0	native-only	0
typechecker:cmd/compile/internal/types2/TestObjectString/1	native-only	0
typechecker:cmd/compile/internal/types2/TestObjectString/10	native-only	0
typechecker:cmd/compile/internal/types2/TestObjectString/11	native-only	0
typechecker:cmd/compile/internal/types2/TestObjectString/12	native-only	0
typechecker:cmd/compile/internal/types2/TestObjectString/13	native-only	0
typechecker:cmd/compile/internal/types2/TestObjectString/14	native-only	0
typechecker:cmd/compile/internal/types2/TestObjectString/15	native-only	0
typechecker:cmd/compile/internal/types2/TestObjectString/16	native-only	0
typechecker:cmd/compile/internal/types2/TestObjectString/2	native-only	0
typechecker:cmd/compile/internal/types2/TestObjectString/3	native-only	0
typechecker:cmd/compile/internal/types2/TestObjectString/4	native-only	0
typechecker:cmd/compile/internal/types2/TestObjectString/5	native-only	0
typechecker:cmd/compile/internal/types2/TestObjectString/6	native-only	0
typechecker:cmd/compile/internal/types2/TestObjectString/7	native-only	0
typechecker:cmd/compile/internal/types2/TestObjectString/8	native-only	0
typechecker:cmd/compile/internal/types2/TestObjectString/9	native-only	0
typechecker:go/types/TestAtomicAlign/386	native-only	0
typechecker:go/types/TestAtomicAlign/amd64	native-only	0
typechecker:go/types/TestGCSizes/issue60431	native-only	0
typechecker:go/types/TestGCSizes/issue60734	native-only	0
typechecker:go/types/TestHasher/Hasher	native-only	0
typechecker:go/types/TestHasher/HasherIgnoreTags	native-only	0
typechecker:go/types/TestInstanceInfo/duplfunc0	native-only	0
typechecker:go/types/TestInstanceInfo/duplfunc1	native-only	0
typechecker:go/types/TestInstanceInfo/dupltype0	native-only	0
typechecker:go/types/TestInstanceInfo/dupltype1	native-only	0
typechecker:go/types/TestInstanceInfo/dupltype1#01	native-only	0
typechecker:go/types/TestInstanceInfo/i0	native-only	0
typechecker:go/types/TestInstanceInfo/issue51803	native-only	0
typechecker:go/types/TestInstanceInfo/issue59956	native-only	0
typechecker:go/types/TestInstanceInfo/p0	native-only	0
typechecker:go/types/TestInstanceInfo/p1	native-only	0
typechecker:go/types/TestInstanceInfo/p2	native-only	0
typechecker:go/types/TestInstanceInfo/p3	native-only	0
typechecker:go/types/TestInstanceInfo/p4	native-only	0
typechecker:go/types/TestInstanceInfo/reverse1a	native-only	0
typechecker:go/types/TestInstanceInfo/reverse1b	native-only	0
typechecker:go/types/TestInstanceInfo/reverse2a	native-only	0
typechecker:go/types/TestInstanceInfo/reverse2b	native-only	0
typechecker:go/types/TestInstanceInfo/reverse2c	native-only	0
typechecker:go/types/TestInstanceInfo/reverse3b	native-only	0
typechecker:go/types/TestInstanceInfo/reverse4a	native-only	0
typechecker:go/types/TestInstanceInfo/reverse4b	native-only	0
typechecker:go/types/TestInstanceInfo/s1	native-only	0
typechecker:go/types/TestInstanceInfo/s2	native-only	0
typechecker:go/types/TestInstanceInfo/s3	native-only	0
typechecker:go/types/TestInstanceInfo/s4	native-only	0
typechecker:go/types/TestInstanceInfo/t1	native-only	0
typechecker:go/types/TestInstanceInfo/t2	native-only	0
typechecker:go/types/TestInstanceInfo/t3	native-only	0
typechecker:go/types/TestInstanceInfo/t4	native-only	0
typechecker:go/types/TestInstanceInfo/type0	native-only	0
typechecker:go/types/TestInstanceInfo/type1	native-only	0
typechecker:go/types/TestInstanceInfo/type2	native-only	0
typechecker:go/types/TestInstanceInfo/type3	native-only	0
typechecker:go/types/TestInstanceInfo/type4	native-only	0
typechecker:go/types/TestInstantiateEquality/basicfunc	native-only	0
typechecker:go/types/TestInstantiateEquality/basictype	native-only	0
typechecker:go/types/TestInstantiateEquality/differentfuncargs	native-only	0
typechecker:go/types/TestInstantiateEquality/differenttypeargs	native-only	0
typechecker:go/types/TestInstantiateEquality/equivalentinterfaces	native-only	0
typechecker:go/types/TestInstantiateEquality/equivalenttypesets	native-only	0
typechecker:go/types/TestInstantiateEquality/funcequality	native-only	0
typechecker:go/types/TestInstantiateEquality/funcslice	native-only	0
typechecker:go/types/TestInstantiateEquality/funcsymmetry	native-only	0
typechecker:go/types/TestInstantiateEquality/funcwithparams	native-only	0
typechecker:go/types/TestInstantiateEquality/typeslice	native-only	0
typechecker:go/types/TestInstantiatedObjects/concreteMethod	native-only	0
typechecker:go/types/TestInstantiatedObjects/fParam	native-only	0
typechecker:go/types/TestInstantiatedObjects/fResult	native-only	0
typechecker:go/types/TestInstantiatedObjects/field	native-only	0
typechecker:go/types/TestInstantiatedObjects/field#01	native-only	0
typechecker:go/types/TestInstantiatedObjects/ftParam	native-only	0
typechecker:go/types/TestInstantiatedObjects/ftResult	native-only	0
typechecker:go/types/TestInstantiatedObjects/interfaceMethod	native-only	0
typechecker:go/types/TestInstantiatedObjects/mParam	native-only	0
typechecker:go/types/TestInstantiatedObjects/mResult	native-only	0
typechecker:go/types/TestInstantiatedObjects/recv	native-only	0
typechecker:go/types/TestObjectString/0	native-only	0
typechecker:go/types/TestObjectString/1	native-only	0
typechecker:go/types/TestObjectString/10	native-only	0
typechecker:go/types/TestObjectString/11	native-only	0
typechecker:go/types/TestObjectString/12	native-only	0
typechecker:go/types/TestObjectString/13	native-only	0
typechecker:go/types/TestObjectString/14	native-only	0
typechecker:go/types/TestObjectString/15	native-only	0
typechecker:go/types/TestObjectString/16	native-only	0
typechecker:go/types/TestObjectString/2	native-only	0
typechecker:go/types/TestObjectString/3	native-only	0
typechecker:go/types/TestObjectString/4	native-only	0
typechecker:go/types/TestObjectString/5	native-only	0
typechecker:go/types/TestObjectString/6	native-only	0
typechecker:go/types/TestObjectString/7	native-only	0
typechecker:go/types/TestObjectString/8	native-only	0
typechecker:go/types/TestObjectString/9	native-only	0
