root	mode	first_line
testdir:codegen/addrcalc.go	interpreted	linux/amd64/v1
testdir:codegen/addrcalc.go	compiled	codegen/addrcalc.go:13: linux/amd64/v1: opcode not found: `^ADDQ`
testdir:codegen/append.go	interpreted	linux/amd64/v1
testdir:codegen/append.go	compiled	codegen/append.go:15: linux/amd64/v1: opcode not found: `^.*growslice\b`
testdir:codegen/arithmetic.go	interpreted	linux/amd64/v1
testdir:codegen/arithmetic.go	compiled	codegen/arithmetic.go:64: linux/amd64/v1: opcode not found: `^SUBQ [A-Z]+, 16\([A-Z]+\)`
testdir:codegen/atomics.go	interpreted	linux/amd64/v1
testdir:codegen/atomics.go	compiled	codegen/atomics.go:26: linux/amd64/v1: opcode not found: `^LOCK`
testdir:codegen/bits.go	interpreted	linux/amd64/v1
testdir:codegen/bits.go	compiled	codegen/bits.go:20: linux/amd64/v1: opcode not found: `^BTQ [$]63,`
testdir:codegen/bmi.go	interpreted	linux/amd64/v3
testdir:codegen/bmi.go	compiled	codegen/bmi.go:11: linux/amd64/v3: opcode not found: `^ANDNQ`
testdir:codegen/bool.go	interpreted	linux/amd64/v1
testdir:codegen/bool.go	compiled	codegen/bool.go:18: linux/amd64/v1: opcode not found: `^ANDL [$]1`
testdir:codegen/clobberdead.go	interpreted	linux/amd64/v1
testdir:codegen/clobberdead.go	compiled	codegen/clobberdead.go:20: linux/amd64/v1: opcode not found: `^MOVL \$3735936685, command-line-arguments\.x`
testdir:codegen/clobberdeadreg.go	interpreted	linux/amd64/v1
testdir:codegen/clobberdeadreg.go	compiled	codegen/clobberdeadreg.go:22: linux/amd64/v1: opcode not found: `^MOVQ \$-2401018187971961171, DX`
testdir:codegen/comparisons.go	interpreted	linux/amd64/v1
testdir:codegen/comparisons.go	compiled	codegen/comparisons.go:28: linux/amd64/v1: opcode not found: `^CMPW \(.*\), [$]`
testdir:codegen/condmove.go	interpreted	linux/amd64/v1
testdir:codegen/condmove.go	compiled	codegen/condmove.go:23: linux/amd64/v1: opcode not found: `^CMOVQLT`
testdir:codegen/deadstore.go	interpreted	linux/amd64/v1
