root	mode	first_line
testdir:codegen/addrcalc.go	interpreted	linux/amd64/v1
testdir:codegen/arithmetic.go	interpreted	linux/amd64/v1
testdir:codegen/atomics.go	interpreted	linux/amd64/v1
testdir:codegen/bits.go	interpreted	linux/amd64/v1
testdir:codegen/bmi.go	interpreted	linux/amd64/v3
testdir:codegen/bool.go	interpreted	linux/amd64/v1
testdir:codegen/deadstore.go	interpreted	linux/amd64/v1
testdir:codegen/floats.go	interpreted	linux/amd64/v1
testdir:codegen/fuse.go	interpreted	linux/amd64/v1
testdir:codegen/issue22703.go	interpreted	linux/amd64/v1
testdir:codegen/issue48054.go	interpreted	linux/amd64/v1
testdir:codegen/issue52635.go	interpreted	linux/amd64/v1
testdir:codegen/issue54467.go	interpreted	linux/amd64/v1
testdir:codegen/issue56440.go	interpreted	linux/amd64/v1
testdir:codegen/issue58166.go	interpreted	linux/amd64/v1
testdir:codegen/issue69635.go	interpreted	linux/amd64/v1
testdir:codegen/issue72832.go	interpreted	linux/amd64/v1
testdir:codegen/issue74485.go	interpreted	linux/amd64/v1
testdir:codegen/issue74788.go	interpreted	linux/amd64/v1
testdir:codegen/issue75203.go	interpreted	linux/amd64/v1
testdir:codegen/load_type_from_itab.go	interpreted	linux/amd64/v1
testdir:codegen/logic.go	interpreted	linux/amd64/v1
testdir:codegen/mapaccess.go	interpreted	linux/amd64/v1
testdir:codegen/maps.go	interpreted	linux/amd64/v1
testdir:codegen/math.go	interpreted	linux/amd64/v1
testdir:codegen/mathbits.go	interpreted	linux/amd64/v1
testdir:codegen/moveload.go	interpreted	linux/amd64/v1
testdir:codegen/multiply.go	interpreted	linux/amd64/v1
testdir:codegen/reflect_type.go	interpreted	linux/amd64/v1
testdir:codegen/retpoline.go	interpreted	linux/amd64/v1
testdir:codegen/rotate.go	interpreted	linux/amd64/v1
testdir:codegen/schedule.go	interpreted	linux/amd64/v1
testdir:codegen/shift.go	interpreted	linux/amd64/v1
testdir:codegen/smallintiface.go	interpreted	linux/amd64/v1
testdir:codegen/spectre.go	interpreted	linux/amd64/v1
testdir:codegen/stack.go	interpreted	linux/amd64/v1
testdir:codegen/strings.go	interpreted	linux/amd64/v1
testdir:codegen/structs.go	interpreted	linux/amd64/v1
testdir:codegen/typeswitch.go	interpreted	linux/amd64/v1
testdir:codegen/unsafe.go	interpreted	linux/amd64/v1
testdir:codegen/writebarrier.go	interpreted	linux/amd64/v1
