root	mode	first_line
testdir:alias3.go	interpreted	test/alias3.dir/a.go:14:1: undefined type: IntAlias
testdir:alias3.go	compiled	test/alias3.dir/a.go:14:1: LOWER-EUNDEFINED: undefined: IntAlias
testdir:codegen/clobberdead.go	interpreted	linux/amd64/v1
testdir:codegen/clobberdead.go	compiled	codegen/clobberdead.go:20: linux/amd64/v1: opcode not found: `^MOVL \$3735936685, command-line-arguments\.x`
testdir:codegen/comparisons.go	interpreted	linux/amd64/v1
testdir:codegen/comparisons.go	compiled	codegen/comparisons.go:54: linux/amd64/v1: opcode not found: `^CMPW command-line-arguments[.+_a-z0-9]+\(SP\), [A-Z]`
testdir:codegen/issue60324.go	interpreted	linux/amd64/v1
testdir:codegen/issue60324.go	compiled	codegen/issue60324.go:11: linux/amd64/v1: opcode not found: `^LEAQ command-line-arguments\.h\.func1`
testdir:codegen/memops.go	interpreted	linux/amd64/v1
testdir:codegen/memops.go	compiled	codegen/memops.go:17: linux/amd64/v1: opcode not found: `^CMPB command-line-arguments.x\+1\(SB\), [$]0`
testdir:codegen/switch.go	interpreted	linux/amd64/v1
testdir:codegen/switch.go	compiled	codegen/switch.go:249: linux/amd64/v1: opcode not found: `^CMPL \(.*\), \$1836345390$`
testdir:codegen/zerosize.go	interpreted	linux/amd64/v1
testdir:codegen/zerosize.go	compiled	codegen/zerosize.go:16: linux/amd64/v1: opcode not found: `^MOVQ \$0, command-line-arguments\.s\+56\(SP\)`
testdir:fixedbugs/bug338.go	compiled	test/fixedbugs/bug338.go:11:1: LOWER-ETYPE: "unsafe" imported as __gosource_import_0_0 and not used
testdir:fixedbugs/bug458.go	compiled	test/fixedbugs/bug458.go:11:1: LOWER-ETYPE: "unsafe" imported as __gosource_import_0_0 and not used
testdir:fixedbugs/bug479.go	compiled	test/fixedbugs/bug479.dir/a.go:7:1: LOWER-ETYPE: "unsafe" imported as __gosource_import_0_0 and not used
testdir:fixedbugs/issue15550.go	compiled	fixedbugs/issue15550.go:9:1: LOWER-ETYPE: "unsafe" imported as __gosource_import_0_0 and not used
testdir:fixedbugs/issue17270.go	compiled	test/fixedbugs/issue17270.go:9:1: LOWER-ETYPE: "unsafe" imported as __gosource_import_0_0 and not used
testdir:fixedbugs/issue18149.go	interpreted	src/reflect/value.go:369; want /foo/bar.go:123 (or suffix /foo/bar.go)
testdir:fixedbugs/issue22344.go	compiled	test/fixedbugs/issue22344.go:10:1: LOWER-ETYPE: "unsafe" imported as __gosource_import_0_0 and not used
testdir:fixedbugs/issue22662.go	interpreted	src/reflect/value.go:369; want ??:1 (or suffix /??)
testdir:fixedbugs/issue24801.go	compiled	test/fixedbugs/issue24801.dir/a.go:7:1: LOWER-ETYPE: cannot declare main - must be func
testdir:fixedbugs/issue28601.go	compiled	test/fixedbugs/issue28601.go:11:1: LOWER-ETYPE: "unsafe" imported as __gosource_import_0_0 and not used
testdir:fixedbugs/issue30709.go	compiled	fixedbugs/issue30709.go:12:1: LOWER-ETYPE: "unsafe" imported as __gosource_import_0_0 and not used
