root	mode	first_line
testdir:abi/convT64_criteria.go	interpreted	unknown field _ of main.MyStruct
testdir:abi/method_wrapper.go	interpreted	assignment mismatch: 5 variable(s) but 1 value(s)
testdir:abi/result_live.go	interpreted	result_live.go:13: missing error "live at call to g: r"
testdir:bloop.go	interpreted	bloop.go:14: missing error "can inline caninline"
testdir:bombad.go	interpreted	test/bombad.go:14:2: expected statement, found 'ILLEGAL'
testdir:bounds.go	interpreted	bounds.go:64: missing error "index bounds check elided"
testdir:char_lit1.go	interpreted	test/char_lit1.go:16:8: escape sequence is invalid Unicode code point
testdir:checkbce.go	interpreted	checkbce.go:17: missing error "Found IsInBounds$"
testdir:closure3.go	interpreted	main.go:15: missing error "can inline main.func1"
testdir:const3.go	interpreted	type info didn't propagate in const: got T2 4 16 256 65536
testdir:defererrcheck.go	interpreted	defererrcheck.go:20: missing error "open-coded defer"
testdir:defernil.go	interpreted	defernil.go:31:8: nilf: command not found
testdir:devirt.go	interpreted	devirt.go:30: missing error "de-virtualizing call$"
testdir:devirtualization.go	interpreted	devirtualization.go:17: missing error "can inline \\(\\*Impl\\).M$"
testdir:devirtualization_with_type_assertions_interleaved.go	interpreted	devirtualization_with_type_assertions_interleaved.go:20: missing error "can inline \\(\\*hash\\).Sum$"
testdir:escape2.go	interpreted	escape2.go:21: missing error "moved to heap: x$"
testdir:escape2n.go	interpreted	escape2n.go:21: missing error "moved to heap: x$"
testdir:escape4.go	interpreted	escape4.go:16: missing error "can inline alloc"
testdir:escape5.go	interpreted	escape5.go:17: missing error "p does not escape"
testdir:escape6.go	interpreted	escape6.go:16: missing error "leaking param: v"
testdir:escape_array.go	interpreted	escape_array.go:15: missing error "leaking param: a to result ~r0 level=0$"
testdir:escape_bloop.go	interpreted	escape_bloop.go:18: missing error "can inline NewX"
testdir:escape_calls.go	interpreted	escape_calls.go:14: missing error "leaking param: buf to result ~r0 level=0$"
testdir:escape_closure.go	interpreted	escape_closure.go:15: missing error "p does not escape"
testdir:escape_field.go	interpreted	escape_field.go:24: missing error "moved to heap: i$"
testdir:escape_goto.go	interpreted	escape_goto.go:21: missing error "escapes to heap"
testdir:escape_iface.go	interpreted	escape_iface.go:17: missing error "leaking param: m"
testdir:escape_iface_data.go	interpreted	escape_iface_data.go:15: missing error "using global for interface value"
testdir:escape_indir.go	interpreted	escape_indir.go:25: missing error "moved to heap: i"
testdir:escape_level.go	interpreted	escape_level.go:14: missing error "moved to heap: i"
testdir:escape_make_non_const.go	interpreted	escape_make_non_const.go:17: missing error "make\\(\\[\\]byte, 128\\) does not escape"
testdir:escape_map.go	interpreted	escape_map.go:14: missing error "make\\(map\\[\\*int\\]\\*int\\) does not escape"
testdir:escape_mutations.go	interpreted	escape_mutations.go:17: missing error "mutates param: b derefs=0"
testdir:escape_param.go	interpreted	escape_param.go:19: missing error "leaking param: p to result ~r0"
testdir:escape_reflect.go	interpreted	escape_reflect.go:19: missing error "x does not escape"
testdir:escape_selfassign.go	interpreted	escape_selfassign.go:18: missing error "leaking param: p"
testdir:escape_slice.go	interpreted	escape_slice.go:21: missing error "moved to heap: i"
testdir:escape_struct_param1.go	interpreted	escape_struct_param1.go:25: missing error "leaking param: u to result ~r0 level=1$"
testdir:escape_struct_param2.go	interpreted	escape_struct_param2.go:25: missing error "leaking param: u to result ~r0 level=0$"
testdir:escape_struct_return.go	interpreted	escape_struct_return.go:18: missing error "leaking param: sp to result ~r0 level=0$"
testdir:escape_sync_atomic.go	interpreted	escape_sync_atomic.go:17: missing error "leaking param: addr$"
