root	mode	first_line	verdict
testdir:fixedbugs/bug414.go	compiled	pkg/tool/linux_amd64/link: cannot open file /srv/sprint162/leaf-canary-backend-seam/tmp/Testfixedbugsbug414.go4022445058/003/main.o: open /srv/sprint162/leaf-canary-backend-seam/tmp/Testfixedbugsbug414.go4022445058/003/main.o: no such file or directory	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/bug437.go	compiled	pkg/tool/linux_amd64/link: cannot open file /srv/sprint162/leaf-canary-backend-seam/tmp/Testfixedbugsbug437.go2294344350/004/main.o: open /srv/sprint162/leaf-canary-backend-seam/tmp/Testfixedbugsbug437.go2294344350/004/main.o: no such file or directory	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue22941.go	compiled	pkg/tool/linux_amd64/link: cannot open file /srv/sprint162/leaf-canary-backend-seam/tmp/Testfixedbugsissue22941.go1470819966/004/main.o: open /srv/sprint162/leaf-canary-backend-seam/tmp/Testfixedbugsissue22941.go1470819966/004/main.o: no such file or directory	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue6789.go	compiled	pkg/tool/linux_amd64/link: cannot open file /srv/sprint162/leaf-canary-backend-seam/tmp/Testfixedbugsissue6789.go1925577324/003/main.o: open /srv/sprint162/leaf-canary-backend-seam/tmp/Testfixedbugsissue6789.go1925577324/003/main.o: no such file or directory	missing=0;wording=0;extra=0;class=-
testdir:typeparam/issue47514c.go	compiled	pkg/tool/linux_amd64/link: cannot open file /srv/sprint162/leaf-canary-backend-seam/tmp/Testtypeparamissue47514c.go3844514300/003/main.o: open /srv/sprint162/leaf-canary-backend-seam/tmp/Testtypeparamissue47514c.go3844514300/003/main.o: no such file or directory	missing=0;wording=0;extra=0;class=-
testdir:typeparam/issue47775.go	compiled	pkg/tool/linux_amd64/link: cannot open file /srv/sprint162/leaf-canary-backend-seam/tmp/Testtypeparamissue47775.go2748247401/003/main.o: open /srv/sprint162/leaf-canary-backend-seam/tmp/Testtypeparamissue47775.go2748247401/003/main.o: no such file or directory	missing=0;wording=0;extra=0;class=-
testdir:typeparam/issue48185a.go	compiled	pkg/tool/linux_amd64/link: cannot open file /srv/sprint162/leaf-canary-backend-seam/tmp/Testtypeparamissue48185a.go536407323/003/main.o: open /srv/sprint162/leaf-canary-backend-seam/tmp/Testtypeparamissue48185a.go536407323/003/main.o: no such file or directory	missing=0;wording=0;extra=0;class=-
testdir:typeparam/issue48185b.go	compiled	pkg/tool/linux_amd64/link: cannot open file /srv/sprint162/leaf-canary-backend-seam/tmp/Testtypeparamissue48185b.go339205846/003/main.o: open /srv/sprint162/leaf-canary-backend-seam/tmp/Testtypeparamissue48185b.go339205846/003/main.o: no such file or directory	missing=0;wording=0;extra=0;class=-
testdir:typeparam/issue50121b.go	compiled	pkg/tool/linux_amd64/link: cannot open file /srv/sprint162/leaf-canary-backend-seam/tmp/Testtypeparamissue50121b.go3172753892/006/main.o: open /srv/sprint162/leaf-canary-backend-seam/tmp/Testtypeparamissue50121b.go3172753892/006/main.o: no such file or directory	missing=0;wording=0;extra=0;class=-
testdir:typeparam/issue51250a.go	compiled	pkg/tool/linux_amd64/link: cannot open file /srv/sprint162/leaf-canary-backend-seam/tmp/Testtypeparamissue51250a.go259519526/004/main.o: open /srv/sprint162/leaf-canary-backend-seam/tmp/Testtypeparamissue51250a.go259519526/004/main.o: no such file or directory	missing=0;wording=0;extra=0;class=-
testdir:typeparam/issue51367.go	compiled	pkg/tool/linux_amd64/link: cannot open file /srv/sprint162/leaf-canary-backend-seam/tmp/Testtypeparamissue51367.go3791599289/003/main.o: open /srv/sprint162/leaf-canary-backend-seam/tmp/Testtypeparamissue51367.go3791599289/003/main.o: no such file or directory	missing=0;wording=0;extra=0;class=-
testdir:typeparam/mdempsky/10.go	compiled	pkg/tool/linux_amd64/link: cannot open file /srv/sprint162/leaf-canary-backend-seam/tmp/Testtypeparammdempsky10.go4238380894/003/main.o: open /srv/sprint162/leaf-canary-backend-seam/tmp/Testtypeparammdempsky10.go4238380894/003/main.o: no such file or directory	missing=0;wording=0;extra=0;class=-
