root	mode	first_line	verdict
testdir:235.go	interpreted	235.go:60:4: BASHPP-EEXPR-OPERAND: indexed value is not a scalar	missing=0;wording=0;extra=0;class=-
testdir:abi/convT64_criteria.go	interpreted	unknown field _ of main.MyStruct	missing=0;wording=0;extra=0;class=-
testdir:abi/idata.go	interpreted	abi/idata.go:55:52: BASHPP-EEXPR-UNDEFINED: undefined callable computed function	missing=0;wording=0;extra=0;class=-
testdir:abi/map.go	interpreted	abi/map.go:13:1: BASHPP-ECOLLECTION-KEY: unsupported map key type *T	missing=0;wording=0;extra=0;class=-
testdir:abi/part_live.go	interpreted	abi/part_live.go:34:34: BASHPP-EEXPR-FORM: unsupported scalar expression *syntax.BashPPAddressExpr	missing=0;wording=0;extra=0;class=-
testdir:abi/part_live_2.go	interpreted	abi/part_live_2.go:39:34: BASHPP-EEXPR-FORM: unsupported scalar expression *syntax.BashPPAddressExpr	missing=0;wording=0;extra=0;class=-
testdir:alias3.go	interpreted	BASHPP-EINTERFACE-SIGNATURE: __gosource_pkg_0_I1 method M1 has wrong signature	missing=0;wording=0;extra=0;class=-
testdir:append.go	interpreted	append.go:68:42: BASHPP-EEXPR-CONVERT: cannot convert String to []byte	missing=0;wording=0;extra=0;class=-
testdir:bigalg.go	interpreted	bigalg.go:61:34: BASHPP-EEXPR-OPERAND: a is not a scalar	missing=0;wording=0;extra=0;class=-
testdir:chan/doubleselect.go	interpreted	command exceeded time limit	missing=0;wording=0;extra=0;class=-
testdir:chan/doubleselect.go	compiled	chan/doubleselect.go:17:1: LOWER-ETYPE: cannot use flag.Int("n", 100000, "number of iterations") (value of type *int) as int value in variable declaration	missing=0;wording=0;extra=0;class=-
testdir:chan/select.go	interpreted	BASHPP-EARG-CHAN: Send requires chan uint for parameter b	missing=0;wording=0;extra=0;class=-
testdir:chan/select2.go	interpreted	BASHPP-ESELECTOR-ASSIGN: target is not a structured value	missing=0;wording=0;extra=0;class=-
testdir:chan/select5.go	interpreted	BASHPP-EPOINTER-TARGET: expression is not a pointer	missing=0;wording=0;extra=0;class=-
testdir:chan/sieve2.go	interpreted	BASHPP-EASSIGN-MISMATCH: scalar call interrupted	missing=0;wording=0;extra=0;class=-
testdir:chancap.go	interpreted	chancap.go:18:7: BASHPP-ECONST-EXPR: const initializer is not a constant expression	missing=0;wording=0;extra=0;class=-
testdir:chanlinear.go	interpreted	BASHPP-EBUILTIN-TYPE: BASHPP-ECOLLECTION-ELEMENT: scalar cannot be used as chan bool	missing=0;wording=0;extra=0;class=-
testdir:closedchan.go	interpreted	closedchan.go:322:39: BASHPP-EEXPR-OPERAND: c is not a scalar	missing=0;wording=0;extra=0;class=-
testdir:closure2.go	interpreted	BASHPP-ECOLLECTION-INDEX: closure2.go:108:9: BASHPP-EEXPR-FORM: unsupported scalar call	missing=0;wording=0;extra=0;class=-
testdir:cmp.go	interpreted	cmp.go:20:70: BASHPP-EEXPR-FORM: unsupported scalar expression *syntax.BashPPAddressExpr	missing=0;wording=0;extra=0;class=-
testdir:cmplxdivide.go	interpreted	cmplxdivide1.go:18:53: BASHPP-EEXPR-OPERAND: nan is not a scalar	missing=0;wording=0;extra=0;class=-
testdir:complit.go	interpreted	BASHPP-ECOLLECTION-LENGTH: invalid array length len(at)	missing=0;wording=0;extra=0;class=-
testdir:complit2.go	interpreted	complit2.go:35:5: BASHPP-ECOMPARE-NONCOMPARABLE: unsupported comparison	missing=0;wording=0;extra=0;class=-
testdir:const.go	interpreted	const.go:22:2: const.go:22:9: BASHPP-EEXPR-SHIFT: shift requires integer operands	missing=0;wording=0;extra=0;class=-
testdir:const4.go	interpreted	const4.go:42:2: BASHPP-EINIT-ORDER: initializer for c depends on c before it is initialized; dependency reordering across shell statements is unsupported	missing=0;wording=0;extra=0;class=-
