# generated by tools/startsites/classify.sh — do not hand-edit
# bash53=GNU bash, version 5.3.15(1)-release (aarch64-apple-darwin25.4.0)
# bashy=GNU bash, version 5.3.0(1)-bashy-dev (ed6b1fb)
# id	phase	feature	class	bash53	bashy	agree	shape
decl-var-assign	P1	var	E	accept	accept	yes	var x = 1
decl-var-typed	P1	var	E	accept	accept	yes	var x int = 1
decl-var-bare	P1	var	E	accept	accept	yes	var x int
decl-const	P1	const	E	accept	accept	yes	const K = 2
decl-const-typed	P1	const	E	accept	accept	yes	const K int = 2
decl-type-struct-1line	P1	type	E	accept	accept	yes	type T struct { A int }
decl-type-struct-multiline	P1	type	R	reject	reject	yes	type T struct {\n\tA int\n}
decl-type-alias	P1	type	E	accept	accept	yes	type ID = string
short-scalar-int	P1	:=	E	accept	accept	yes	x := 42
short-scalar-string	P1	:=	E	accept	accept	yes	x := "hello"
short-call	P1	:=	R	reject	reject	yes	x := f()
short-call-args	P1	:=	R	reject	reject	yes	x := f(1, 2)
short-multi-call	P1	:=	R	reject	reject	yes	x, y := f()
short-multi-err	P1	:=	R	reject	reject	yes	config, err := readConfig("config.json")
short-composite-map	P1	:=	E	accept	accept	yes	m := map[string]int{"a": 1}
short-composite-slice	P1	:=	E	accept	accept	yes	s := []int{1, 2, 3}
short-composite-struct	P1	:=	E	accept	accept	yes	g := Gopher{Name: "x"}
short-index-generic	P1	:=	E	accept	accept	yes	f := Max[int]
call-bare	P1	call	R	reject	reject	yes	f(1, 2)
call-selector	P1	call	R	reject	reject	yes	x.y.z()
call-builtin-clear	P1	call	R	reject	reject	yes	clear(m)
call-builtin-len	P1	call	R	reject	reject	yes	n := len(s)
if-brace	P1	if	R	reject	reject	yes	if x != 42 { echo hi }
if-brace-nil	P1	if	R	reject	reject	yes	if err != nil { return 1 }
if-brace-init	P1	if	R	reject	reject	yes	if v, err := f(); err != nil { return 1 }
for-brace-range	P1	for	R	reject	reject	yes	for i := range 10 { echo $i }
for-brace-cond	P1	for	R	reject	reject	yes	for i < 10 { echo $i }
switch-brace	P1	switch	E	accept	accept	yes	switch x { case 1: echo a }
composite-bare	P1	literal	E	accept	accept	yes	Gopher{Name: "x", Burrow: "y"}
escape-command-var	P1	escape	E	accept	accept	yes	command var x=1
escape-quoted-var	P1	escape	E	accept	accept	yes	"var" x=1
escape-command-type	P1	escape	E	accept	accept	yes	command type T struct { A int }
import-single	P2	import	E	accept	accept	yes	import "fmt"
import-aliased	P2	import	E	accept	accept	yes	import neturl "net/url"
import-grouped	P2	import	R	reject	reject	yes	import (\n\t"fmt"\n)
escape-command-import	P2	escape	E	accept	accept	yes	command import "fmt"
func-decl	P3	func	R	reject	reject	yes	func f(x int) int { return x }
func-decl-multi	P3	func	R	reject	reject	yes	func f() (int, error) { return 0, nil }
func-decl-noargs	P3	func	R	reject	reject	yes	func f() { echo hi }
return-multi	P3	return	E	accept	accept	yes	return x, nil
